uid,name,condition,lsm_file,pixel_size,nucleus_target_expression,mean_alfa_cytoplasm,sum_alfa_cytoplasm,cv_alfa_cytoplasm,mean_alfa_granules,sum_alfa_granules,cv_alfa_granules,mean_alfa_granule_periphery,sum_alfa_granule_periphery,cv_alfa_granule_periphery,number_of_spots,area_of_spots,sum_intensity_alfa_spots,mean_intensity_alfa_spots,mean_distance_to_granules,MeanRNA_Cytoplasm_Granules_Ratio,SumRNA_Cytoplasm_Granules_Ratio
dd40eaf7,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-15,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-15.lsm,0.051319402472669626,11436.676881438798,1461.5621546434968,76705705,0.8624249325318848,10166.454683237345,33539134,0.6816815014855407,11274.037122328666,122390947,0.7993586212369685,18,162,885514,5466.135802469136,1.557399117456499,0.14376320951426164,2.2870508522969017
9f60d255,Vasa405_Membrane-488_mCherry_AlfaTag647-2,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-2.lsm,0.051319402472669626,6515.342020437556,1095.5041027178802,40186377,1.0684222565141224,13084.532759011561,57715874,0.63100751867872,12571.488375055736,197359796,0.8314277013347223,17,274,1435469,5238.93795620438,1.127940945917733,0.08372512208839755,0.6962794499135541
cb6aec95,Vasa405_Membrane-488_mCherry_AlfaTag647-3,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-3.lsm,0.051319402472669626,18492.599402153883,722.6940208616315,56397596,1.0916042642587287,13528.352740854663,123148595,0.946447592187373,16026.261305590702,341984390,0.9800888845539825,48,811,1788511,2205.3156596794083,2.166510955478865,0.05342069612652448,0.4579637794487221
e12ee4fa,Vasa405_Membrane-488_mCherry_AlfaTag647-7,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-7.lsm,0.051319402472669626,33368.4521709245,1438.5742751595208,64253920,0.7507907972004811,19929.969684961365,201173114,0.9503920949212914,24146.593189403422,463035071,0.9990008560919287,65,1258,4980135,3958.7718600953895,1.9734825878457274,0.07218145827110974,0.319396159468904
8b3ca6e0,Vasa405_Membrane-488_mCherry_AlfaTag647-3,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-3.lsm,0.051319402472669626,1412.6150356076269,1144.5015308607612,65790526,0.8609558014014024,20291.03508224838,260273107,0.8869237590701372,16344.239569956697,547286862,1.1781609715172991,14,386,1968721,5100.313471502591,0.9406511166512344,0.05640429510971714,0.2527749668735464
9b1d4166,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-10,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-10.lsm,0.051319402472669626,12184.304795023754,605.0397850058181,21838306,0.5675948266597844,15182.791585826611,148685078,0.675377852599199,14899.679666811113,309451447,0.782224934665347,70,1378,1672362,1213.6153846153845,3.8915873730600317,0.03985036490724359,0.14687624537547742
8698dbb9,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-3,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-3.lsm,0.051319402472669626,10406.215102117294,250.51318924617817,11880588,1.1634690738312812,1965.533051378446,12547963,1.9312516708398497,2256.2702795110695,52792212,1.9764088844385599,4,23,68024,2957.5652173913045,0.45598550631089696,0.12745305354722528,0.9468140765158456
3ec3ca0c,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-20,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-20.lsm,0.051319402472669626,16587.378387572287,1346.5232940832298,92055065,0.9396442783403326,6150.885103011094,31049668,1.6030987679261248,6474.396114815889,111650961,1.670354169118331,59,768,2535948,3302.015625,1.5713311728675639,0.21891537096409996,2.9647680934945906
07784c5c,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-5,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-5.lsm,0.051319402472669626,1224.0661767242866,511.0481035437431,36918115,1.1575094403060524,2323.3656138259835,7797215,0.7246223661392885,2387.3313545601727,26542350,0.756772471233066,0,0,0,,,0.2199602595917647,4.734782226730955
f3d67a6b,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-9,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-9.lsm,0.051319402472669626,7579.049964260186,1385.3886675930214,44865812,1.1394104008885946,8844.632886149384,48786995,0.8720845005811362,10461.230212936922,156228012,0.8635164724174659,0,0,0,,,0.1566360848919493,0.9196264701279511
498f23e4,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-17,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-17.lsm,0.051319402472669626,10781.253864032538,1120.0311629495175,62321894,0.5773445933631123,11904.208948676707,81412885,0.5736313076674361,10957.798942132107,174020805,0.7336712524967969,0,0,0,,,0.09408698786944782,0.7655040599531634
d0ef20ed,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-4,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-4.lsm,0.051319402472669626,8133.245626682045,362.6572114875128,10266463,0.7948343147645319,3278.699792423456,12636109,1.6063076484532963,4150.3038437303085,65865322,1.475207828425496,4,44,31492,715.7272727272727,0.6535536285537303,0.11061006937126566,0.8124702786277009
d5a2fc16,Vasa405_Membrane-488_mCherry_AlfaTag647-4,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-4.lsm,0.051319402472669626,14858.56443345595,1909.5947995324002,60440585,0.6452358733155048,7791.103147432358,70548439,1.1493400399597604,6331.868283093054,183586189,1.4252655889517218,108,4662,18364163,3939.1169026169027,0.6497417150253303,0.24509941190571038,0.8567246257567797
8ec30438,Vasa405_Membrane-488_mCherry_AlfaTag647-9,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-9.lsm,0.051319402472669626,4426.92451370896,861.2475504158597,30236679,1.180859992584801,4541.387791107974,25740586,0.972925339622377,5664.9029730944585,88219534,1.1231137849937898,5,83,344070,4145.421686746988,1.2263114836265276,0.18964413303399902,1.1746694111781293
899a54b9,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-7,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-7.lsm,0.051319402472669626,1597.4331876767158,598.1955711745279,42384549,1.0928445285091688,3470.41180604357,19753584,0.7433297629462262,3377.7137745974956,58532402,0.8381694587368463,0,0,0,,,0.17237019829542896,2.1456637438552923
6a450281,Vasa405_Membrane-488_mCherry_AlfaTag647-8,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-8.lsm,0.051319402472669626,12676.527908515958,1379.9810221479672,64425794,0.5097269778636033,10185.992355296687,55961842,0.702035403207879,10383.73807874687,194892380,0.9344272101454187,35,525,1313106,2501.154285714286,1.8238031643897887,0.13547830923222529,1.1512450573017237
efc9ffa3,Vasa405_Membrane-488_mCherry_AlfaTag647-10,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-10.lsm,0.051319402472669626,5568.041549846027,921.7888590938854,59125381,1.1437638851623855,8471.508206417271,57292810,0.822464213232679,8352.334234350195,194667854,0.981241657037233,15,247,1064232,4308.631578947368,1.7115284691974204,0.1088104782092543,1.031986055492827
8d025f4e,Vasa405_Membrane-488_mCherry_AlfaTag647-7,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-7.lsm,0.051319402472669626,10677.064819565589,265.477114894758,19801938,1.0966207405496786,1460.262821032164,18024024,1.4965766796681235,2779.9592976855547,69665780,1.6336164430031435,7,101,93480,925.5445544554456,1.195232874583969,0.1818009135554856,1.0986413466826277
5ab596bb,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-3,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-3.lsm,0.051319402472669626,10732.9781366949,662.4268120967572,31520255,0.9212943905386247,8227.86527737012,56064674,0.8208754057984529,9462.891663263521,162203426,0.854971816443725,2,9,28029,3114.3333333333335,1.0463278861301548,0.0805101675544801,0.5622124013420643
891a563a,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-1,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-1.lsm,0.051319402472669626,11236.446375788591,411.36914264250163,8761340,0.6879217516585165,6697.604598353676,23595661,0.9159691559216879,7444.781871279344,66280893,1.0127407693465862,6,71,60317,849.5352112676056,1.7513074792365835,0.06142033866012625,0.3713114881587763
a6f1117a,Vasa405_Membrane-488_mCherry_AlfaTag647-13,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-13.lsm,0.051319402472669626,12218.009547488811,2290.4590444599003,85621940,0.5923846104137759,8088.258611758612,62457533,1.0220472352729073,7513.750953071759,222715092,1.3346804999155377,102,1893,8603241,4544.765451664025,1.1568410239648845,0.28318321092380244,1.3708825162851053
c1d393c3,Vasa405_Membrane-488_mCherry_AlfaTag647-6,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-6.lsm,0.051319402472669626,10658.857254901961,1097.9961072083763,24539115,0.9366825273026959,15237.05498847547,92549872,0.7292416384161914,14635.462407147159,291596953,0.8749426350737622,8,134,447752,3341.4328358208954,1.2153824267646594,0.07206091387337281,0.2651447751326982
80c7379f,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-14,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-14.lsm,0.051319402472669626,21451.988393402567,915.2683393780843,76969491,0.6519107690742588,7313.984347608314,58409479,1.217434871975359,9825.15487417419,194822996,1.3385616486166716,57,788,1719094,2181.5913705583757,1.6983702649560457,0.12513949933149346,1.3177568490210296
b44e3ce6,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-6,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-6.lsm,0.051319402472669626,3420.2376428216594,220.36266781013953,6680735,0.5953269796096015,1415.942116370214,9393360,1.1475168924828905,1618.1213532603133,31614855,1.243760375981908,4,38,20708,544.9473684210526,0.6002909063280127,0.1556297148467072,0.7112188822742874
50e279dc,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-5,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-5.lsm,0.051319402472669626,4426.176126087331,274.1821164199192,6518954,0.6588385411684928,1562.7855002995807,7824867,1.2169898163191852,1762.7925431499461,26145739,1.326939661406474,5,57,37439,656.8245614035088,0.7380588683915332,0.17544449725657132,0.8331073231021051
4baf17ee,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-16,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-16.lsm,0.051319402472669626,11664.6167404783,1051.508314002645,48502924,0.5396923971817865,13106.990642722118,138671961,0.5440126854433532,12526.69394345121,318102866,0.7105597257628774,1,4,8042,2010.5,1.6997494326978253,0.08022499921341693,0.34976734770484713
d7404309,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-8,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-8.lsm,0.051319402472669626,10777.008010231557,1032.1984870668618,21149747,0.840632043751111,13631.348072436396,122695764,0.8664305722971941,14504.881105939096,258636535,0.9349965228143671,0,0,0,,,0.07572240702693553,0.1723755271616386
4e1b600b,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-4,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-4.lsm,0.051319402472669626,1600.0938372596058,544.884758698092,36411924,1.1286980206217456,3358.7452419169913,14647488,0.7385067280450617,3539.6878912811117,46362832,0.8028694832315979,0,0,0,,,0.1622286656034386,2.485881811270301
13d8906e,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-8,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-8.lsm,0.051319402472669626,17626.147321428572,520.3661286038894,35267294,0.5623223827387784,11229.13791641943,132470140,1.0428024951514416,15381.84595139203,374040348,0.9751085306302428,59,936,1313504,1403.3162393162393,3.393671720930153,0.04634070152820917,0.26622825340110606
25e89f74,Vasa405_Membrane-488_mCherry_AlfaTag647-15,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-15.lsm,0.051319402472669626,12494.908396480077,2684.4821002386634,114729396,0.708126365094947,9371.091118269673,40726762,0.7939056011827633,11497.907321106433,152968159,1.042406878512969,132,3096,15327213,4950.650193798449,1.4897222086102617,0.2864641978568596,2.817051745974797
dcc6d73e,Vasa405_Membrane-488_mCherry_AlfaTag647-16,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-16.lsm,0.051319402472669626,19723.968990866564,1072.5276191609169,54094003,1.1597411413813496,17161.634840458297,139300990,0.7925843989652819,16147.860055356781,478396502,0.9183859583940603,45,761,4682742,6153.406044678055,1.5245230602486377,0.062495655520676215,0.38832461276836583
d6e725e5,Vasa405_Membrane-488_mCherry_AlfaTag647-17,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-17.lsm,0.051319402472669626,11408.2481091302,869.0603292537086,34154940,0.5874736485904213,7467.702965779467,49100147,0.9125157047478223,6430.703229521995,145160264,1.1922776593663875,88,2600,4021264,1546.64,1.2103193175801754,0.11637585657010628,0.6956178766633835
3ba6bce5,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-14,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-14.lsm,0.051319402472669626,23771.109017496634,961.4328503097587,54471901,0.9309247274852437,14851.93718871057,53674901,1.1118610409926624,11718.954045756165,118326279,1.440341036535731,37,534,1205723,2257.9082397003745,1.543742796216142,0.06473450823913895,1.0148486533771157
ab30d7aa,Vasa405_Membrane-488_mCherry_AlfaTag647-12,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-12.lsm,0.051319402472669626,11419.447540160643,1920.4236824509148,94778670,0.6041681456881334,6188.126810786717,55532250,0.856546170528439,6770.465865940235,164034847,1.112577290125875,69,1177,5196684,4415.194562446899,1.2755511086700397,0.31034006593131935,1.7067320340883
9dcab7c9,Vasa405_Membrane-488_mCherry_AlfaTag647-14,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-14.lsm,0.051319402472669626,23761.582166040313,1539.424961864904,39358478,0.7266571191975594,18868.74916208607,140742000,0.7882433974570489,18745.762728832953,393211119,0.9491121982129552,84,2135,5730312,2683.9868852459017,1.7517521999025012,0.08158595721639822,0.27964984155404926
fdb94b69,Vasa405_Membrane-488_mCherry_AlfaTag647-18,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-18.lsm,0.051319402472669626,14930.841537869204,2860.27275711436,113275382,0.702034021288064,16934.511913069484,169870089,0.7873418745549755,15329.675209349407,333175161,1.0059057129864197,75,2523,16856235,6681.0285374554105,1.2715665843588981,0.168901989723536,0.6668353602852354
9e43c992,Vasa405_Membrane-488_mCherry_AlfaTag647-6,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-6.lsm,0.051319402472669626,7973.128090525345,270.57981420395606,23213854,1.6355104205299829,2933.9687658710004,11553969,1.2545812367033204,4098.776993648553,52271703,1.11757678352912,19,202,274770,1360.2475247524753,1.2131351785153632,0.09222314066579017,2.0091670663128833
c4885291,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-6,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-6.lsm,0.051319402472669626,1515.5307584011753,666.9094689766149,31912285,1.0576670771145829,1668.9837959701283,11844778,0.9836750112466476,2077.3713709677418,30911286,1.0760729050827094,1,5,24850,4970.0,0.5157536118005736,0.39959014017206873,2.6942071012221587
477f1f8c,Vasa405_Membrane-488_mCherry_AlfaTag647-10,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-10.lsm,0.051319402472669626,3417.8421703432587,731.9115256612366,41784829,1.2482044961122707,5754.2588890709485,35118242,0.8265887931290604,6442.605245308614,113982572,0.8391240217629179,5,98,429400,4381.632653061224,2.965058300061974,0.127194750839479,1.1898325946953723
040e747c,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-18,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-18.lsm,0.051319402472669626,6649.717578020805,1370.9413491011064,63064673,0.826718150391698,14922.121212121212,12803180,0.46870662396036894,14619.95696136894,56389174,0.5208300331993478,6,49,158815,3241.122448979592,3.4706843263389295,0.09187308758673621,4.92570384857512
1ac3769d,Vasa405_Membrane-488_mCherry_AlfaTag647-19,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-19.lsm,0.051319402472669626,15445.239377389405,3055.3474856307453,152562666,0.7827850934871955,15282.468254899659,130221912,0.9558451759106787,15184.65586117931,364902465,1.0639238538107203,107,2352,17150368,7291.8231292517,1.427723945644602,0.1999250012936347,1.1715590998233845
adf9d80a,Vasa405_Membrane-488_mCherry_AlfaTag647-2,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-2.lsm,0.051319402472669626,1198.9866586216144,1000.0938766405176,26899525,0.9203547426796155,12783.265336509827,85852410,0.8001120455251581,15127.57148812005,254037308,0.885951294380633,7,52,229088,4405.538461538462,0.9720566445897638,0.07823461770633715,0.3133228874996054
1db3344b,Vasa405_Membrane-488_mCherry_AlfaTag647-9,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-9.lsm,0.051319402472669626,2565.7115988828764,201.08153813977114,6729998,0.9388707970440023,1920.289202387412,10617279,0.7593201773200997,2123.944232829425,35686511,0.8975460087103555,9,125,80524,644.192,1.1347940388355484,0.10471419507529138,0.6338722002125027
0bb3aa36,Vasa405_Membrane-488_mCherry_AlfaTag647-11,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-11.lsm,0.051319402472669626,3732.0350549326085,854.2611034555862,32236397,1.1896092459211751,5630.558056265984,33023223,0.9012131104007435,7001.817193380728,117203418,0.9164941543583891,8,113,544321,4817.0,1.1769344741437595,0.1517187275078212,0.9761735551978074
b1431143,Vasa405_Membrane-488_mCherry_AlfaTag647-1,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-1.lsm,0.051319402472669626,987.1520996441282,950.4588070364111,49492291,1.0936699365616016,15333.440109289617,140300977,0.8516042603405469,16124.844082177415,338283104,0.9718750456771114,32,673,2399987,3566.102526002972,1.9748640123924364,0.06198601228830475,0.3527579925548202
89a44708,Vasa405_Membrane-488_mCherry_AlfaTag647-5,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-5.lsm,0.051319402472669626,2884.511130136986,1257.3238164330346,53726704,1.0978163936241592,5018.498227942548,26904169,0.924790829645647,5975.5932426280915,118143454,1.2075057079010696,17,381,2251053,5908.275590551181,0.6975859397476045,0.2505378619907383,1.9969657490629054
dced989f,Vasa405_Membrane-488_mCherry_AlfaTag647-11,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-11.lsm,0.051319402472669626,3864.8006884985434,896.5604655345169,34896823,1.1033037451028034,6009.676920023814,30282762,0.8069936557636873,6403.430944831959,100982106,0.8843343569439804,3,52,168054,3231.8076923076924,2.580209268832118,0.14918613387472485,1.152365923557435
c7b8433f,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-13,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-13.lsm,0.051319402472669626,9531.90255698142,852.0364814905295,52315892,0.8364058880576811,3126.4078782303254,37382459,1.6402442795351808,3358.452624435448,143516756,1.8697434046895716,2,13,32750,2519.230769230769,1.4337236386534848,0.2725288940778952,1.399477011397244
0af1cd56,Vasa405_Membrane-488_mCherry_AlfaTag647-17,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-17.lsm,0.051319402472669626,15330.097395951785,2075.7657310040704,97909718,0.7360771997612773,15457.536653061225,189354824,1.0133825763659672,12602.515573026913,416765190,1.3304599557811805,126,3329,15061386,4524.297386602583,0.941278142805968,0.13428826193939405,0.5170701011557012
f735056b,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-2,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-2.lsm,0.051319402472669626,13863.95616241466,836.1038944356864,71599757,0.8906905493605373,2954.750415246088,33799390,0.9961265194314349,4867.631171146462,70989533,1.6077655322032856,8,61,195524,3205.311475409836,0.006414925309083703,0.2829693804666243,2.118374236931495
2146c9e8,Vasa405_Membrane-488_mCherry_AlfaTag647-12,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-12.lsm,0.051319402472669626,3736.823039524624,965.7283551699717,43635470,1.1360250880583525,6696.3090875439575,36180158,0.906222082770734,6999.74603992273,108706056,0.9738061150299862,7,150,788537,5256.913333333333,2.729772186168598,0.14421800764339826,1.2060607916637622
d9c0b953,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-1,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-1.lsm,0.051319402472669626,12485.66205466541,1042.875818293056,68183221,0.7893399013825868,4633.516863624601,53716361,1.129770022222946,6728.110224895398,154369761,1.2489005828379411,1,4,14300,3575.0,0.0,0.2250721965598414,1.269319435097251
