condition,fish_id,stock_number,fertilized,not_fertilized,red_eye_positive,red_eye_negative,percent_fertilized,percent_dominant_marker,is_fertile,is_dominant_marker
no_tdrd7a,63,H221,0,100,,,0.0,,False,False
no_tdrd7a,64,H221,0,100,,,0.0,,False,False
no_tdrd7a,65,H221,0,100,,,0.0,,False,False
no_tdrd7a,66,H221,0,100,,,0.0,,False,False
no_tdrd7a,67,H221,0,100,,,0.0,,False,False
no_tdrd7a,68,H221,0,100,,,0.0,,False,False
no_tdrd7a,69,H221,0,100,,,0.0,,False,False
no_tdrd7a,70,H221,0,100,,,0.0,,False,False
no_tdrd7a,71,H221,0,100,,,0.0,,False,False
no_tdrd7a,72,H221,53,8,53.0,0.0,86.88524590163934,100.0,True,True
no_tdrd7a,74,H221,0,100,,,0.0,,False,False
no_tdrd7a,75,H221,98,7,98.0,0.0,93.33333333333333,100.0,True,True
no_tdrd7a,76,H221,4,2,4.0,0.0,66.66666666666666,100.0,True,True
wt,1,H213,104,1,,,99.04761904761905,,True,False
wt,2,H213,141,0,,,100.0,,True,False
wt,3,H213,124,5,,,96.12403100775194,,True,False
wt,4,H213,156,0,,,100.0,,True,False
wt,5,H213,116,2,,,98.30508474576271,,True,False
wt,6,H213,172,20,,,89.58333333333334,,True,False
wt,7,H213,125,26,,,82.78145695364239,,True,False
wt,8,H213,148,1,,,99.32885906040269,,True,False
wt,9,H213,42,0,,,100.0,,True,False
wt,10,H213,150,10,,,93.75,,True,False
wt,11,H213,52,3,,,94.54545454545455,,True,False
wt,12,H213,74,2,,,97.36842105263158,,True,False
wt,13,H213,147,0,,,100.0,,True,False
wt,14,H213,141,14,,,90.96774193548387,,True,False
wt,15,H213,139,6,,,95.86206896551724,,True,False
wt,16,H213,169,7,,,96.02272727272727,,True,False
wt,17,H213,163,1,,,99.39024390243902,,True,False
wt,18,H213,62,1,,,98.4126984126984,,True,False
wt,19,H213,112,2,,,98.24561403508771,,True,False
wt,20,H213,142,4,,,97.26027397260275,,True,False
wt,21,H213,148,0,,,100.0,,True,False
wt,22,H213,146,39,,,78.91891891891892,,True,False
wt,23,H213,110,5,,,95.65217391304348,,True,False
wt,24,H213,67,6,,,91.78082191780823,,True,False
