frame,time,granule_id,y,x,radius,mean_intensity_ch2
45,10483.215297030303,1,121.0,177.0,7.0710678118654755,1318.142857142857
45,10483.215297030303,10,178.0,206.0,7.0710678118654755,877.3664596273292
46,10483.45922430303,0,161.0,162.0,11.313708498984761,2099.340740740741
46,10483.45922430303,1,122.0,175.0,7.0710678118654755,1448.416149068323
46,10483.45922430303,10,179.0,204.0,7.0710678118654755,1038.2857142857142
47,10483.703151575757,0,162.0,166.0,11.313708498984761,2145.4
47,10483.703151575757,1,124.0,179.0,7.0710678118654755,1373.9875776397516
48,10483.947078848485,0,159.0,164.0,11.313708498984761,2119.3086419753085
48,10483.947078848485,1,120.0,177.0,7.0710678118654755,1480.2360248447205
49,10484.191006121211,0,159.0,166.0,11.313708498984761,2242.222222222222
49,10484.191006121211,1,120.0,179.0,7.0710678118654755,1416.4223602484471
49,10484.191006121211,11,176.0,209.0,7.0710678118654755,1101.5900621118012
