frame,time,granule_id,y,x,radius,mean_intensity_ch2
0,10471.991617757576,0,160.0,160.0,11.313708498984761,757.7555555555556
0,10471.991617757576,1,120.0,176.0,7.0710678118654755,571.3105590062112
1,10472.235545030302,0,159.0,161.0,11.313708498984761,742.4864197530865
1,10472.235545030302,1,120.0,176.0,7.0710678118654755,549.0621118012423
1,10472.235545030302,2,179.0,202.0,7.0710678118654755,428.54658385093165
2,10472.47947230303,0,159.0,161.0,11.313708498984761,776.6345679012346
2,10472.47947230303,1,120.0,176.0,7.0710678118654755,447.3478260869565
2,10472.47947230303,2,179.0,202.0,7.0710678118654755,449.40372670807454
3,10472.970351575757,0,159.0,161.0,11.313708498984761,4699.054320987654
3,10472.970351575757,1,121.0,176.0,7.0710678118654755,638.6708074534162
3,10472.970351575757,2,179.0,202.0,7.0710678118654755,445.3229813664596
4,10473.214278848485,0,157.0,160.0,11.313708498984761,4420.4493827160495
4,10473.214278848485,1,119.0,175.0,7.0710678118654755,711.8944099378882
4,10473.214278848485,2,177.0,201.0,7.0710678118654755,518.7639751552795
4,10473.214278848485,3,127.0,197.0,7.0710678118654755,422.2857142857143
5,10473.458206121211,0,160.0,161.0,11.313708498984761,4352.479012345679
5,10473.458206121211,1,121.0,176.0,7.0710678118654755,643.0683229813665
5,10473.458206121211,2,180.0,202.0,7.0710678118654755,590.2981366459627
5,10473.458206121211,3,130.0,197.0,7.0710678118654755,432.03105590062114
6,10473.70213339394,0,160.0,161.0,11.313708498984761,4170.975308641975
6,10473.70213339394,1,121.0,176.0,7.0710678118654755,732.0745341614906
6,10473.70213339394,2,179.0,202.0,7.0710678118654755,602.7888198757764
7,10473.946060666667,0,159.0,161.0,11.313708498984761,4063.508641975309
7,10473.946060666667,1,120.0,176.0,7.0710678118654755,824.5465838509317
7,10473.946060666667,2,178.0,203.0,7.0710678118654755,624.0496894409938
8,10474.189987939393,0,159.0,161.0,11.313708498984761,3824.58024691358
8,10474.189987939393,1,119.0,176.0,7.0710678118654755,944.2111801242236
8,10474.189987939393,2,178.0,202.0,7.0710678118654755,565.4223602484471
9,10474.433915212121,0,160.0,162.0,11.313708498984761,3885.311111111111
9,10474.433915212121,1,120.0,177.0,7.0710678118654755,944.6583850931677
9,10474.433915212121,2,178.0,203.0,7.0710678118654755,608.6211180124224
10,10474.677842484849,0,161.0,163.0,11.313708498984761,3764.40987654321
10,10474.677842484849,1,121.0,177.0,7.0710678118654755,965.7826086956521
10,10474.677842484849,2,179.0,205.0,7.0710678118654755,619.8012422360248
11,10474.921769757575,0,162.0,162.0,11.313708498984761,3506.320987654321
11,10474.921769757575,1,121.0,177.0,7.0710678118654755,1043.9627329192547
11,10474.921769757575,2,179.0,204.0,7.0710678118654755,655.6770186335403
11,10474.921769757575,4,129.0,198.0,7.0710678118654755,488.3354037267081
12,10475.165697030303,0,160.0,163.0,11.313708498984761,3581.785185185185
12,10475.165697030303,1,120.0,177.0,7.0710678118654755,1218.5403726708075
12,10475.165697030303,2,178.0,205.0,7.0710678118654755,645.9689440993789
13,10475.40962430303,0,160.0,161.0,11.313708498984761,3346.2814814814815
13,10475.40962430303,1,120.0,175.0,7.0710678118654755,1128.2360248447205
14,10475.653551575757,0,160.0,160.0,11.313708498984761,3394.3012345679012
14,10475.653551575757,1,121.0,174.0,7.0710678118654755,1135.5403726708075
14,10475.653551575757,5,179.0,202.0,7.0710678118654755,915.6149068322982
15,10475.897478848485,0,162.0,163.0,11.313708498984761,3331.9604938271605
15,10475.897478848485,1,123.0,177.0,7.0710678118654755,1169.0434782608695
15,10475.897478848485,5,180.0,205.0,7.0710678118654755,697.1304347826087
15,10475.897478848485,6,131.0,199.0,7.0710678118654755,688.3105590062112
16,10476.141406121213,0,160.0,163.0,11.313708498984761,3167.2716049382716
16,10476.141406121213,1,121.0,176.0,7.0710678118654755,1185.4844720496894
16,10476.141406121213,5,179.0,205.0,7.0710678118654755,808.2981366459627
17,10476.385333393939,0,161.0,162.0,11.313708498984761,3296.713580246914
17,10476.385333393939,1,121.0,177.0,7.0710678118654755,1211.3416149068323
17,10476.385333393939,5,179.0,204.0,7.0710678118654755,790.7639751552795
18,10476.629260666667,0,160.0,159.0,11.313708498984761,3198.6493827160493
18,10476.629260666667,1,120.0,175.0,7.0710678118654755,1258.44099378882
18,10476.629260666667,5,178.0,202.0,7.0710678118654755,833.7329192546584
19,10476.873187939394,0,158.0,160.0,11.313708498984761,2903.0074074074073
19,10476.873187939394,1,119.0,174.0,7.0710678118654755,1226.4658385093169
20,10477.11711521212,0,160.0,163.0,11.313708498984761,3002.6
20,10477.11711521212,1,121.0,177.0,7.0710678118654755,1379.6770186335405
20,10477.11711521212,7,178.0,205.0,7.0710678118654755,884.335403726708
21,10477.361042484848,0,161.0,161.0,11.313708498984761,2844.832098765432
21,10477.361042484848,1,121.0,175.0,7.0710678118654755,1306.2608695652175
21,10477.361042484848,7,179.0,203.0,7.0710678118654755,919.8322981366459
22,10477.604969757576,0,161.0,161.0,11.313708498984761,2723.777777777778
22,10477.604969757576,1,122.0,175.0,7.0710678118654755,1306.304347826087
23,10477.848897030302,0,163.0,164.0,11.313708498984761,2702.3012345679012
23,10477.848897030302,1,124.0,177.0,7.0710678118654755,1208.4844720496894
23,10477.848897030302,8,181.0,205.0,7.0710678118654755,884.3540372670808
24,10478.09282430303,0,160.0,162.0,11.313708498984761,2755.1037037037036
24,10478.09282430303,1,121.0,176.0,7.0710678118654755,1209.27950310559
24,10478.09282430303,8,178.0,204.0,7.0710678118654755,969.2732919254659
25,10478.336751575758,0,161.0,161.0,11.313708498984761,2687.508641975309
25,10478.336751575758,1,122.0,175.0,7.0710678118654755,1370.863354037267
25,10478.336751575758,8,179.0,203.0,7.0710678118654755,1031.3850931677018
26,10478.580678848484,0,162.0,161.0,11.313708498984761,2636.4074074074074
26,10478.580678848484,1,122.0,175.0,7.0710678118654755,1498.7577639751553
27,10478.824606121212,0,161.0,161.0,11.313708498984761,2673.8271604938273
27,10478.824606121212,1,122.0,175.0,7.0710678118654755,1422.888198757764
28,10479.06853339394,0,160.0,161.0,11.313708498984761,2555.562962962963
28,10479.06853339394,1,121.0,175.0,7.0710678118654755,1399.192546583851
28,10479.06853339394,9,178.0,204.0,7.0710678118654755,971.639751552795
29,10479.312460666666,0,161.0,161.0,11.313708498984761,2596.982716049383
29,10479.312460666666,1,121.0,175.0,7.0710678118654755,1446.8136645962734
29,10479.312460666666,9,177.0,204.0,7.0710678118654755,940.8012422360248
30,10479.556387939394,0,160.0,158.0,11.313708498984761,2474.1037037037036
30,10479.556387939394,1,120.0,172.0,7.0710678118654755,1418.7267080745341
30,10479.556387939394,9,176.0,201.0,7.0710678118654755,942.9751552795032
31,10479.80031521212,0,159.0,161.0,11.313708498984761,2332.1283950617285
31,10479.80031521212,1,120.0,175.0,7.0710678118654755,1418.9378881987577
31,10479.80031521212,9,176.0,204.0,7.0710678118654755,879.527950310559
32,10480.044242484848,0,160.0,161.0,11.313708498984761,2503.9135802469136
32,10480.044242484848,1,121.0,175.0,7.0710678118654755,1203.2919254658384
32,10480.044242484848,9,178.0,204.0,7.0710678118654755,978.4472049689441
33,10480.288169757576,0,161.0,161.0,11.313708498984761,2359.0938271604937
33,10480.288169757576,1,122.0,174.0,7.0710678118654755,1349.0124223602484
33,10480.288169757576,9,179.0,204.0,7.0710678118654755,957.7267080745341
34,10480.532097030302,0,160.0,161.0,11.313708498984761,2374.293827160494
34,10480.532097030302,1,121.0,175.0,7.0710678118654755,1434.9937888198758
34,10480.532097030302,9,178.0,204.0,7.0710678118654755,1020.9254658385094
35,10480.77602430303,0,161.0,161.0,11.313708498984761,2359.0074074074073
35,10480.77602430303,1,123.0,174.0,7.0710678118654755,1444.0993788819876
35,10480.77602430303,9,180.0,203.0,7.0710678118654755,1015.2049689440994
36,10481.019951575758,0,160.0,163.0,11.313708498984761,2274.1728395061727
36,10481.019951575758,1,121.0,176.0,7.0710678118654755,1288.9378881987577
36,10481.019951575758,9,178.0,205.0,7.0710678118654755,880.4347826086956
37,10481.263878848484,0,159.0,162.0,11.313708498984761,2297.1506172839504
37,10481.263878848484,1,120.0,175.0,7.0710678118654755,1422.0683229813665
37,10481.263878848484,9,177.0,204.0,7.0710678118654755,899.223602484472
38,10481.507806121212,0,160.0,164.0,11.313708498984761,2199.158024691358
38,10481.507806121212,1,120.0,177.0,7.0710678118654755,1259.776397515528
38,10481.507806121212,9,177.0,206.0,7.0710678118654755,906.5776397515529
39,10481.75173339394,0,161.0,161.0,11.313708498984761,2234.9679012345678
39,10481.75173339394,1,122.0,176.0,7.0710678118654755,1301.7826086956522
39,10481.75173339394,9,179.0,204.0,7.0710678118654755,959.0062111801242
40,10481.995660666666,0,159.0,162.0,11.313708498984761,2289.883950617284
40,10481.995660666666,1,120.0,175.0,7.0710678118654755,1190.0993788819876
40,10481.995660666666,9,177.0,204.0,7.0710678118654755,963.5031055900621
41,10482.239587939393,0,158.0,162.0,11.313708498984761,2156.296296296296
41,10482.239587939393,1,120.0,176.0,7.0710678118654755,1254.0496894409937
41,10482.239587939393,9,176.0,204.0,7.0710678118654755,988.9627329192547
42,10482.483515212121,0,159.0,162.0,11.313708498984761,2008.2790123456791
42,10482.483515212121,1,119.0,176.0,7.0710678118654755,1355.7639751552795
42,10482.483515212121,9,176.0,205.0,7.0710678118654755,1052.7577639751553
43,10482.727442484847,0,161.0,162.0,11.313708498984761,2104.241975308642
43,10482.727442484847,1,123.0,175.0,7.0710678118654755,1256.4099378881988
44,10482.971369757575,0,160.0,162.0,11.313708498984761,2162.8246913580247
44,10482.971369757575,1,122.0,176.0,7.0710678118654755,1481.9503105590063
45,10483.215297030303,0,160.0,164.0,11.313708498984761,2083.362962962963
