rna_type,group1,group1_mean,group1_n,group2,group2_mean,group2_n,test,statistic,p_value,stars
actin,DMSO,0.8333333333333334,24,CHX,1.7333333333333334,15,Mann-Whitney U test,131.0,0.13968336605124804,ns
actin,DMSO,0.8333333333333334,24,PatA,0.7777777777777778,9,t-test,0.1379919165812587,0.8911392519952881,ns
vasa,DMSO,21.333333333333332,21,CHX,16.22222222222222,18,Mann-Whitney U test,233.0,0.2197422176070979,ns
vasa,DMSO,21.333333333333332,21,PatA,5.8,15,t-test,4.5112958888948675,7.319882791712037e-05,***
